zone_id,zone_name,centroid_lat,centroid_lon,lat_std,lon_std,total_violations,parking_related_violations,non_parking_violations,violation_density,hotspot_score,hotspot_band,top_police_station,top_junction,top_location,peak_hour_violations,morning_peak_violations,evening_peak_violations,weekend_violations,weekday_violations,night_violations,unique_violation_types,unique_vehicle_classes,unique_locations,unique_junctions,recency_weight_sum,dominant_hour,dominant_time_bucket,dominant_day_name,peak_share,violations_nov,violations_dec,violations_jan,violations_feb,violations_mar,violations_apr,month_over_month_trend,recurring_hotspot_flag
ZONE_011,Coles Road / Pulikeshinagar(F.Town) Zone,12.996291711409597,77.61240131385452,0.0030924970034903534,0.002474700810825847,3313,3578,82,0.001031,65.38,Very High,Pulikeshinagar(F.Town),No Junction,"Coles Road, Silver Enclave, Frazer Town, Bengaluru, Karnataka. Pin-560005 (India)",566,563,3,982,2331,1389,6,6,171,1,748.4521762877722,3,midday,Tuesday,0.1708,438,709,954,598,543,71,-0.1391,1
ZONE_010,Bellary Road / Hebbala Zone,13.0355671912808,77.58906304259892,0.0011956647236279383,0.000272096200953328,3482,3510,280,0.011381,65.31,Very High,Hebbala,No Junction,"Bellary Road, Vinayaka Nagar, Hebbal, Bengaluru, Karnataka. Pin-560024 (India)",1233,1225,8,984,2498,1443,7,6,52,1,843.0786157320387,4,night,Wednesday,0.3541,432,892,738,650,684,86,-0.1202,1
ZONE_014,"Domlur Inner Ring Road / 17th Main, Doopanahalli Bus Stop Zone",12.969134545556729,77.6434785098686,0.0022155233670642315,0.0035157158698634937,2584,3717,53,0.000924,65.24,Very High,Jeevanbheemanagar,"BTP148 - 17th Main, Doopanahalli Bus Stop","Domlur Inner Ring Road, HAL Stage 2, Indiranagar, Bengaluru, Karnataka. Pin-560008 (India)",1367,1356,11,1314,1270,364,11,6,114,2,527.9785372162881,7,morning_peak,Sunday,0.529,286,907,576,425,326,64,-0.1993,1
ZONE_015,"5th Main Road / New Diagonal Road, Jayanagar Zone",12.92858817968826,77.58335493654894,0.0022544025233160814,0.0022351589379066036,2546,2965,59,0.002148,65.15,Very High,Jayanagara,"BTP189 - New Diagonal Road, Jayanagar","5th Main Road, Shri Vinayaka Circle, Jayanagar, Bengaluru, Karnataka. Pin-560011 (India)",1556,1556,0,920,1626,452,7,6,113,10,731.4449771197765,8,morning_peak,Sunday,0.6112,380,681,470,318,478,219,-0.1054,1
ZONE_016,Sri DV Gundappa Road / Tagore Park Zone,12.943859053695077,77.57133909701352,0.0015659049665975888,0.0010259198315718764,2502,2605,27,0.002675,63.51,Very High,Basavanagudi,BTP108 - Tagore Park Junction,"Sri DV Gundappa Road, Shopper Junction, Basavanagudi, Bengaluru, Karnataka. Pin-560004 (India)",936,936,0,802,1700,859,5,6,92,3,766.4878513081708,10,midday,Sunday,0.3741,342,378,655,499,321,307,-0.0344,1
ZONE_013,Palace Road / Windsor Circle Zone,12.99261067180988,77.58895254020584,0.001293493272899726,0.0004976563338206065,3017,3045,75,0.009205,62.55,Very High,High ground,BTP032 - Windsor Circle,"Palace Road, Kalpana Circle, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",886,886,0,885,2132,2080,4,5,39,3,398.76390737227916,3,night,Wednesday,0.2937,621,1183,763,258,176,16,-0.3722,1
ZONE_019,G Narayana Kumar Road / Leprosy Hospital Zone,12.975725410259342,77.56030602169318,0.0011421500400152097,0.0023312049074506688,2069,2266,131,0.001083,61.12,Very High,Magadi Road,BTP074 - Leprosy Hospital Junction,"G Narayana Kumar Road, Block C, KP Agrahara, Bengaluru, Karnataka. Pin-560023 (India)",684,682,2,609,1460,857,10,5,69,5,593.3935795614816,11,night,Saturday,0.3306,510,338,396,241,476,108,-0.1451,1
ZONE_022,20th Main Road / UCO Bank Zone,12.935959931086957,77.61631591815217,0.0022811062896802843,0.0029851513378198113,1840,2057,48,0.000724,61.1,Very High,Adugodi,BTP135 - UCO Bank Junction,"20th Main Road, Block 7, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",751,645,106,733,1107,401,7,6,97,4,585.4714545384687,11,midday,Sunday,0.4082,211,332,307,356,560,74,0.0045,1
ZONE_026,Whitefield Road / Mahadevapura Zone,12.995889036596235,77.69514935094865,0.0012910066481738943,0.00301753664298753,1691,2426,72,0.000978,60.83,Very High,Mahadevapura,No Junction,"Whitefield Road, Phoenix Marketcity, Dyavasandra Industrial Estate Phase 2, Mahadevapura, Bengaluru, Karnataka. Pin-560048 (India)",766,761,5,1165,526,269,10,6,77,1,539.6126323372333,11,midday,Sunday,0.453,85,396,340,368,402,100,0.0123,1
ZONE_021,Marathahalli Underpass / HAL Old Airport Zone,12.957783752817969,77.70154672143856,0.0012749451749477375,0.0009957720889425515,1854,2283,33,0.002519,60.69,Very High,HAL Old Airport,No Junction,"Marathahalli Underpass, Ashwath Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",727,723,4,505,1349,741,11,6,81,1,404.8283276948737,11,night,Friday,0.3921,239,455,498,372,219,71,-0.1548,1
ZONE_024,"Old Airport Road / 17th Main, Doopanahalli Bus Stop Zone",12.959983744718627,77.64523251342439,0.0009725850305635721,0.004106116025866938,1814,2026,67,0.001873,60.47,Very High,Jeevanbheemanagar,"BTP148 - 17th Main, Doopanahalli Bus Stop","Old Airport Road, Manipal Hospital Junction, Kodihalli, Bengaluru, Karnataka. Pin-560008 (India)",783,775,8,612,1202,850,10,6,75,4,468.7971590307141,5,night,Thursday,0.4316,207,399,389,385,386,48,-0.0792,1
ZONE_018,17th Cross Road / HSR Layout Zone,12.912510672218847,77.6361325875952,0.0012126845935866457,0.0019033613269684312,2123,2134,42,0.002862,60.37,Very High,HSR Layout,No Junction,"17th Cross Road, Sector 7, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",492,485,7,800,1323,304,6,4,83,1,425.28493909817723,12,midday,Sunday,0.2317,241,706,628,317,163,68,-0.2265,1
ZONE_020,Mysore Road / Gali Anjaneya Temple Zone,12.952917294386658,77.54186783383454,0.0017259065650534844,0.002659142063482247,1977,2407,98,0.000915,60.14,Very High,Byatarayanapura,BTP096 - Gali Anjaneya Temple,"Mysore Road, Satellite Bus Stand Junction, New Timber Yard Layout, Bengaluru, Karnataka. Pin-560026 (India)",601,587,14,811,1166,842,10,6,53,5,433.15731167340084,1,night,Sunday,0.304,348,513,443,338,311,24,-0.2021,1
ZONE_017,Neeladri Road / Electronic City Zone,12.841830173489322,77.64608044631032,0.0005258998130618553,0.001665743429143434,2125,2165,56,0.004025,59.43,Very High,Electronic City,No Junction,"Neeladri Road, Ajmera Annex, Karuna Nagar, Doddathogur, Bengaluru, Karnataka. Pin-560100 (India)",293,293,0,961,1164,224,6,6,59,1,702.9990099540212,12,midday,Sunday,0.1379,328,292,202,663,514,126,0.0094,1
ZONE_023,Hosur Road / HSR Layout Zone,12.907812529795953,77.62948345541716,0.002548996430089572,0.002850132035121249,1814,2038,44,0.000877,59.11,Very High,HSR Layout,No Junction,"Hosapalya Main Road, BKL Colony, Bommanahalli, Bengaluru, Karnataka. Pin-560068 (India)",329,326,3,608,1206,459,7,6,93,1,446.20063312441266,13,midday,Tuesday,0.1814,299,274,380,577,254,30,-0.1142,1
ZONE_025,Hosur Road / Hulimavu Zone,12.890410447284545,77.63888201451265,0.004077533055420775,0.0023342018491482636,1732,1794,16,0.000659,58.56,Very High,Hulimavu,No Junction,"Hosur Road, Ozone Manay Tech Park, Garvebhavi Palya, Bengaluru, Karnataka. Pin-560068 (India)",257,257,0,447,1285,1172,6,6,109,1,535.795367814378,2,night,Friday,0.1484,220,357,297,275,476,107,-0.0228,1
ZONE_028,Mumbai Bengaluru Highway / Yeshwanthpura Zone,13.029384178783998,77.53896324008309,0.0016134930636800535,0.00301332476145117,1313,1726,117,0.00098,57.08,Very High,Yeshwanthpura,No Junction,"Mumbai Bengaluru Highway, Gorguntepalya Junction, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)",554,551,3,516,797,547,9,6,49,1,308.64158673181146,10,night,Saturday,0.4219,241,328,235,247,220,42,-0.1706,1
ZONE_029,80 Feet Road / Sadashivanagar Zone,13.02782443083127,77.57481484072463,0.0006930137195611099,0.0029233896129120334,1253,1293,45,0.001635,56.28,Very High,Sadashivanagar,No Junction,"80 Feet Road, Block 2, Armane Nagar, Bengaluru, Karnataka. Pin-560094 (India)",427,427,0,380,873,356,7,5,61,1,415.62708017046714,11,midday,Wednesday,0.3408,114,260,252,257,236,134,0.0045,1
ZONE_027,Kadidal Manjappa Road / Nanjappa Circle Zone,12.96193848943612,77.59841830306924,0.0005344436661370925,0.0014623837857751375,1401,1404,23,0.004776,55.22,Very High,Ashok Nagar,BTP172 - Nanjappa Circle,"O Shaughnessy Road, Divyasree Chambers, Langford Garden, Richmond Town, Bengaluru, Karnataka. Pin-560025 (India)",384,384,0,303,1098,936,3,5,30,3,273.2508561623153,4,night,Thursday,0.2741,253,490,294,166,167,31,-0.2701,1
ZONE_031,Bhadrappa Flyover / Kodigehalli Zone,13.047709230297723,77.57561508327495,0.000986039780158928,0.0012726849424035819,1142,1149,79,0.001303,55.05,Very High,Kodigehalli,No Junction,"Bhadrappa Flyover, Nagashetty Halli, RMV Stage 2, Bengaluru, Karnataka. Pin-560094 (India)",333,333,0,389,753,621,6,5,52,1,480.33971619705943,2,night,Thursday,0.2916,120,110,183,243,275,211,0.1516,1
ZONE_030,Pusa Thippasandra Main Road / Jeevanbheemanagar Zone,12.971751408802024,77.65809020342513,0.00022456735536513148,0.0001632325103682932,1235,1424,84,0.022612,54.68,Very High,Jeevanbheemanagar,No Junction,"Pusa Thippasandra Main Road, Nada Prabhu Kempegowda Circle, New Thippasandra, Bengaluru, Karnataka. Pin-560075 (India)",674,674,0,263,972,291,7,6,14,1,259.91211872930865,7,morning_peak,Thursday,0.5457,45,400,448,140,170,32,-0.1476,1
ZONE_032,ITPL Main Road / HAL Old Airport Zone,12.97475458715232,77.71127975913387,0.0055754249087355805,0.001242752154467965,1082,1305,20,0.000691,54.68,Very High,HAL Old Airport,No Junction,"ITPL Main Road, SJR Brooklyn Apartment, Kundalhalli, Bengaluru, Karnataka. Pin-560037 (India)",268,264,4,225,857,608,6,6,69,1,288.82093765141525,3,night,Monday,0.2477,30,184,380,281,175,32,-0.0184,1
ZONE_033,Dr Siddaiah Puranik Marg / Havanur Circle Zone,12.988746263509585,77.53773504299159,0.0018939509121424292,0.0004945266548588126,1022,1102,17,0.002275,54.13,Very High,Vijayanagara,BTP208 - Havanur Circle,"Dr Siddaiah Puranik Marg, Havanur Circle, Basaveshwara Nagar, Bengaluru, Karnataka. Pin-560079 (India)",454,454,0,317,705,255,6,6,34,3,343.5134998640403,10,midday,Saturday,0.4442,117,105,144,305,297,54,0.0708,1
ZONE_036,"9th Main Road / 9th Cross, 4th Main, Jayanagar Zone",12.938720329345951,77.5845441510813,0.0016662126825096695,0.000594757535093718,979,1014,27,0.002975,53.98,Very High,Wilson Garden,"BTP186 - 9th Cross, 4th Main, Jayanagar","9th Main Road, Block 2, Jayanagar East, Bengaluru, Karnataka. Pin-560011 (India)",363,344,19,357,622,222,6,6,47,5,406.46511220845207,11,midday,Sunday,0.3708,131,183,122,96,333,114,0.0594,1
ZONE_035,Dr Ambedkar Road / Gopal Gowda Circle Zone,12.978794667882338,77.59055938899336,0.0019418371589899797,0.0021517026056783483,982,1074,10,0.00108,53.53,Very High,Cubbon Park,BTP041 - Gopal Gowda Circle,"Dr Ambedkar Road, Shanthaveri Gopalagowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560001 (India)",423,423,0,183,799,462,6,5,44,7,186.78028732885207,2,night,Monday,0.4308,310,270,182,56,132,32,-0.3369,1
ZONE_037,Srinivagilu Main Road / Adugodi Zone,12.930974944328824,77.63211034370447,0.0028413713174040497,0.001160911283173743,961,1079,7,0.000969,53.47,Very High,Adugodi,No Junction,"Srinivagilu Main Road, ST Bed Layout Extension, Block 4, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",272,272,0,453,508,474,5,6,46,1,395.1885227408918,2,night,Saturday,0.283,55,130,77,299,258,142,0.1857,1
ZONE_043,Dr Rajkumar Puniya Bhoomi Road / Rajajinagar Zone,13.018611691319858,77.53172161307967,0.0022710293120098727,0.0007362016530945583,841,1079,31,0.000913,52.87,Very High,Rajajinagar,No Junction,"Dr Rajkumar Puniya Bhoomi Road, Block 2, Nandini Layout, Bengaluru, Karnataka. Pin-560096 (India)",246,246,0,229,612,321,8,6,73,1,220.7243936980446,11,midday,Wednesday,0.2925,89,204,233,150,96,69,-0.1033,1
ZONE_046,Chinmaya Mission Hospital Road / Jeevanbheemanagar Zone,12.979066165208426,77.640428421658,0.0016335265554923862,0.0022005562611752973,720,1135,41,0.000687,52.58,Very High,Jeevanbheemanagar,No Junction,"Chinmaya Mission Hospital Road, KFC Circle, Indiranagar, Bengaluru, Karnataka. Pin-560038 (India)",362,362,0,262,458,207,10,6,57,1,181.93722380852205,9,morning_peak,Friday,0.5028,39,232,159,86,192,12,-0.0781,1
ZONE_044,JJR Main Road / Sirsi Circle Zone,12.964384082833133,77.55400488559424,0.00027548053152744,0.001910224031410162,833,1061,61,0.00305,51.94,Very High,Magadi Road,BTP091 - Sirsi Circle,"JJR Main Road, JJR Nagar Circle, JJR Nagar North, Bengaluru, Karnataka. Pin-560018 (India)",229,229,0,251,582,372,9,5,44,3,232.71349765602406,2,night,Tuesday,0.2749,132,122,231,142,151,55,-0.0796,1
ZONE_039,"Konanakunte Main Road / Sahasra Hospital, Jayanagar Zone",12.91465174795961,77.5742680672646,0.002950534399815414,0.0020729082285457583,940,971,46,0.000728,51.7,Very High,Jayanagara,"BTP115 - Sahasra Hospital, Jayanagar","Konanakunte Main Road, Banashankari Bus Stand Junction, JP Nagar Phase 1, Bengaluru, Karnataka. Pin-560070 (India)",146,146,0,434,506,599,7,6,58,6,228.30301386437185,3,night,Sunday,0.1553,170,327,88,105,224,26,-0.1846,1
ZONE_040,20th Main Road / Kodigehalli Zone,13.062839312703582,77.58915527730727,0.0013587116589212395,0.0022279767459646048,921,1071,26,0.001211,51.5,Very High,Kodigehalli,No Junction,"20th Main Road, Block G, Sahakara Nagar, Bengaluru, Karnataka. Pin-560092 (India)",119,119,0,314,607,191,7,4,57,1,232.82202361825097,13,midday,Saturday,0.1292,139,152,240,185,198,7,-0.1074,1
ZONE_041,Old Madras Road / Banaswadi Zone,12.99356406145191,77.66251571744283,0.000499245948685497,0.001027171257034573,905,906,9,0.004193,51.33,Very High,Banaswadi,No Junction,"Old Madras Road, Gopalan Signature Mall, Nagavara Palya, CV Raman Nagar, Bengaluru, Karnataka. Pin-560093 (India)",257,255,2,263,642,76,4,4,21,1,335.65950887333037,14,midday,Monday,0.284,46,103,144,229,330,53,0.1517,1
ZONE_038,Bengaluru Bellary Road / Chikkajala Zone,13.191244329831223,77.64622122568565,0.00045435874586986747,0.0004695737788486014,948,1329,7,0.008088,51.19,Very High,Chikkajala,No Junction,"Bengaluru Bellary Road, Sadahalli Gate Junction, Navarathna Agrahara, Bengaluru, Karnataka. Pin-562157 (India)",282,282,0,252,696,403,7,6,13,1,152.5363731701472,1,night,Monday,0.2975,61,421,243,116,105,2,-0.2477,1
ZONE_045,Domlur Inner Ring Road / Madiwala Traffic PS Zone,12.924560071707582,77.61918488617012,0.0020152068606875046,0.0011351534238726218,795,851,9,0.001256,51.19,Very High,Madiwala,BTP137 - Madiwala Traffic PS Junction,"Domlur Inner Ring Road, Block 2, Koramangala, Bengaluru, Karnataka. Pin-560068 (India)",263,256,7,206,589,356,5,6,39,3,218.16099953248064,1,night,Tuesday,0.3308,14,140,248,238,142,13,-0.0019,1
ZONE_047,Bellary Road / Mekhri Circle Zone,13.024721790288188,77.58526715329614,0.0024217557374637006,0.0006166231046080861,720,746,38,0.001476,50.87,Very High,R.T. Nagar,BTP030 - Mekhri Circle,"Bellary Road, HGH Layout, Ganga Nagar, Bengaluru, Karnataka. Pin-560032 (India)",353,353,0,210,510,201,7,6,36,2,211.35117333217647,10,midday,Tuesday,0.4903,61,138,177,168,117,59,-0.0195,1
ZONE_034,4th Main Road / Attiguppe Circle Zone,12.960829543334164,77.52826063286457,0.00017097958940664687,0.0006928125793895827,984,1068,29,0.023289,50.76,Very High,Byatarayanapura,BTP017 - Attiguppe Circle,"4th Main Road, Sri Basaveshwara HBCS, Phase 1, Chandra Layout Stage 2, Bengaluru, Karnataka. Pin-560040 (India)",223,223,0,222,762,265,4,4,14,2,215.1577347067759,12,midday,Wednesday,0.2266,168,177,81,558,0,0,-0.1557,1
ZONE_053,Dr Rajkumar Puniya Bhoomi Road / Rajajinagar Zone,13.005929848130082,77.5264719112195,0.0031532072582237435,0.0007922959492675166,615,943,7,0.000827,50.0,Very High,Rajajinagar,No Junction,"Laggere Service Road, Narasimhaswamy Layout, Laggere, Bengaluru, Karnataka. Pin-560058 (India)",159,159,0,144,471,190,5,6,66,1,157.47034884721774,11,midday,Monday,0.2585,78,155,97,185,54,46,-0.1045,1
ZONE_051,1st Cross Road / GD Mara Zone,12.90801301197411,77.60082311488672,0.0006176896250966259,0.0006305557449525035,618,641,25,0.004345,49.68,Very High,Mico Layout,BTP130 - GD Mara Junction,"1st Cross Road, Sarakki Industrial Layout, JP Nagar Phase 3, Bengaluru, Karnataka. Pin-560078 (India)",343,343,0,244,374,100,5,4,25,1,307.01746869013994,11,morning_peak,Saturday,0.555,13,34,32,156,315,68,0.3445,1
ZONE_049,Whitefield Road / Whitefield Zone,12.987432831185943,77.73454871273792,0.0006135639134620702,0.0006870457664868259,683,1634,44,0.004519,49.39,Very High,Whitefield,No Junction,"Whitefield Road, Sadaramangala Industrial Area, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)",136,121,15,75,608,343,6,4,12,1,218.3194075960986,4,night,Friday,0.1991,7,123,199,187,68,99,0.071,1
ZONE_048,Amrutha College Road / Bellandur Zone,12.900531024414095,77.67552813603027,0.0024600303902413494,0.00020674861247503817,691,704,11,0.002667,49.2,Very High,Bellandur,No Junction,"Amrutha College Road, Azalea, Owners Court Layout, Kasavanahalli, Bengaluru, Karnataka. Pin-560035 (India)",226,226,0,277,414,174,5,5,32,1,152.35408497711552,11,midday,Sunday,0.3271,170,130,181,92,83,35,-0.2245,1
ZONE_058,Outer Ring Road / Mahadevapura Zone,12.979157942090096,77.6951545118577,0.0005592338412169798,0.0005874927528444621,529,1182,15,0.002543,49.13,Very High,Mahadevapura,No Junction,"Outer Ring Road, Doddanekundi, Bengaluru, Karnataka. Pin-560037 (India)",142,142,0,111,418,314,7,6,43,1,150.32954611037025,3,night,Thursday,0.2684,42,114,149,61,141,22,-0.0347,1
ZONE_054,Hosa Road / Electronic City Zone,12.870561056919563,77.65487131049994,0.000806539469527304,0.0017812717549743136,575,630,8,0.000877,48.14,Very High,Electronic City,No Junction,"Hosa Road, Channakeshava Nagar, Singasandra, Bengaluru, Karnataka. Pin-560100 (India)",169,169,0,161,414,129,5,6,37,1,195.1104670613704,12,midday,Friday,0.2939,25,48,44,361,79,18,0.1118,1
ZONE_052,RT Nagar Main Road / R.T. Nagar Zone,13.021694749025974,77.59254863685065,0.0027132036729469694,0.0009417278496393717,616,624,25,0.00077,47.8,Very High,R.T. Nagar,No Junction,"RT Nagar Main Road, Judicial Officers HBCS, Ganga Nagar, Bengaluru, Karnataka. Pin-560032 (India)",223,223,0,73,543,269,5,6,44,1,52.35650586536154,4,night,Wednesday,0.362,12,552,35,10,6,1,-0.4781,1
ZONE_042,Jakkur Main Road / Yelahanka Zone,13.097254623432208,77.59933732899819,0.0008621397446166999,0.0007394688160259703,842,862,54,0.003036,47.59,Very High,Yelahanka,No Junction,"Jakkur Main Road, Raitarasanthe, Nehru Nagar, Bengaluru, Karnataka. Pin-560064 (India)",47,47,0,187,655,760,5,6,25,1,229.12851646094737,2,night,Wednesday,0.0558,63,355,64,97,222,41,-0.0969,1
ZONE_055,Shri Ramalingeshwara Cave Temple Road / Hulimavu Zone,12.875969857027194,77.59582803188269,0.0009848053978165944,0.0008220575980133699,574,576,11,0.002385,47.36,High,Hulimavu,No Junction,"Shri Ramalingeshwara Cave Temple Road, Royal Meenakshi Mall, Hulimavu, Bengaluru, Karnataka. Pin-560076 (India)",229,229,0,174,400,128,3,4,17,1,204.38523117987546,6,midday,Wednesday,0.399,44,78,68,148,212,24,0.1141,1
ZONE_059,Gnana Bharathi Road / Byatarayanapura Zone,12.957302399724236,77.51880889692536,0.0010738381926188368,0.0004359663425034644,529,703,23,0.002518,47.24,High,Byatarayanapura,No Junction,"Gnana Bharathi Road, Manasa Layout, Nagarbhavi, Bengaluru, Karnataka. Pin-560072 (India)",102,102,0,190,339,101,7,6,44,1,162.8446928872062,12,midday,Sunday,0.1928,59,103,145,52,132,38,-0.036,1
ZONE_062,Sarjapura Main Road / Bellandur Zone,12.912448023334639,77.68093022218578,0.0013738466038650222,0.0030863878883563953,474,489,11,0.000583,46.78,High,Bellandur,No Junction,"Sarjapura Main Road, Kaikondrahalli, Bengaluru, Karnataka. Pin-560035 (India)",258,258,0,200,274,84,6,5,36,1,97.99029081944894,9,midday,Sunday,0.5443,136,100,107,66,41,24,-0.2814,1
ZONE_057,Bellary Road / Kodigehalli Zone,13.056724595441949,77.59263581897508,0.0020688639724759103,0.0008497956942029788,533,548,18,0.001639,46.59,High,Kodigehalli,No Junction,"Bellary Road, Godrej Platinum, Hebbal Kempapura, Bengaluru, Karnataka. Pin-560024 (India)",120,119,1,242,291,159,6,5,49,1,102.37433702654114,11,midday,Sunday,0.2251,174,87,116,87,56,13,-0.2982,1
ZONE_050,"7th Cross Road / 16th Main Road, BTM Layout Zone",12.913773928843106,77.60664838779714,0.0004895422601130843,0.0017007062022976068,631,634,1,0.001606,46.47,High,Mico Layout,"BTP163 - 16th Main Road, BTM Layout","7th Cross Road, MICO Layout, BTM Layout Stage 2, Bengaluru, Karnataka. Pin-560076 (India)",122,122,0,289,342,209,3,5,25,2,87.29566820267362,5,midday,Saturday,0.1933,208,270,90,1,55,7,-0.4724,1
ZONE_063,Thavarekere Main Road / Madiwala Check Post Zone,12.928405841774891,77.60954486796535,0.0028260147383927965,0.0004906115852298475,462,772,7,0.001471,46.43,High,Mico Layout,BTP140 - Madiwala Check Post,"Thavarekere Main Road, Prestige Lexington Towers, Sadduguntepalya, Bengaluru, Karnataka. Pin-560029 (India)",78,78,0,119,343,211,5,4,63,3,92.2932150048533,2,night,Tuesday,0.1688,167,94,72,47,68,14,-0.3221,1
