zone_id,zone_name,top_police_station,top_junction,top_location,predicted_next_day_violations,predicted_risk_score,predicted_risk_band,recommended_action,manpower_estimate,time_window_to_watch
ZONE_022,20th Main Road / UCO Bank Zone,Adugodi,BTP135 - UCO Bank Junction,"20th Main Road, Block 7, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",9.43,96.5,Very High,Deploy Towing Vehicle + 3 Officers + Barricade Support,3,11:00 AM - 05:00 PM (Midday Traffic Focus)
ZONE_025,Hosur Road / Hulimavu Zone,Hulimavu,No Junction,"Hosur Road, Ozone Manay Tech Park, Garvebhavi Palya, Bengaluru, Karnataka. Pin-560068 (India)",9.34,96.3,Very High,Deploy Towing Vehicle + 3 Officers + Barricade Support,3,08:00 PM - 08:00 AM (Night Monitoring Focus)
ZONE_010,Bellary Road / Hebbala Zone,Hebbala,No Junction,"Bellary Road, Vinayaka Nagar, Hebbal, Bengaluru, Karnataka. Pin-560024 (India)",8.84,96.1,Very High,Deploy Towing Vehicle + 3 Officers + Barricade Support,3,08:00 PM - 08:00 AM (Night Monitoring Focus)
ZONE_049,Whitefield Road / Whitefield Zone,Whitefield,No Junction,"Whitefield Road, Sadaramangala Industrial Area, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)",8.82,95.9,Very High,Deploy Towing Vehicle + 3 Officers + Barricade Support,3,08:00 PM - 08:00 AM (Night Monitoring Focus)
ZONE_011,Coles Road / Pulikeshinagar(F.Town) Zone,Pulikeshinagar(F.Town),No Junction,"Coles Road, Silver Enclave, Frazer Town, Bengaluru, Karnataka. Pin-560005 (India)",8.27,95.7,Very High,Deploy Towing Vehicle + 3 Officers + Barricade Support,3,11:00 AM - 05:00 PM (Midday Traffic Focus)
ZONE_014,"Domlur Inner Ring Road / 17th Main, Doopanahalli Bus Stop Zone",Jeevanbheemanagar,"BTP148 - 17th Main, Doopanahalli Bus Stop","Domlur Inner Ring Road, HAL Stage 2, Indiranagar, Bengaluru, Karnataka. Pin-560008 (India)",8.17,95.5,Very High,Deploy Towing Vehicle + 3 Officers + Barricade Support,3,08:00 AM - 11:00 AM (Morning Peak Focus)
ZONE_051,1st Cross Road / GD Mara Zone,Mico Layout,BTP130 - GD Mara Junction,"1st Cross Road, Sarakki Industrial Layout, JP Nagar Phase 3, Bengaluru, Karnataka. Pin-560078 (India)",8.01,95.4,Very High,Deploy Towing Vehicle + 3 Officers + Barricade Support,3,08:00 AM - 11:00 AM (Morning Peak Focus)
ZONE_041,Old Madras Road / Banaswadi Zone,Banaswadi,No Junction,"Old Madras Road, Gopalan Signature Mall, Nagavara Palya, CV Raman Nagar, Bengaluru, Karnataka. Pin-560093 (India)",6.93,95.2,Very High,Deploy Towing Vehicle + 3 Officers + Barricade Support,3,11:00 AM - 05:00 PM (Midday Traffic Focus)
ZONE_024,"Old Airport Road / 17th Main, Doopanahalli Bus Stop Zone",Jeevanbheemanagar,"BTP148 - 17th Main, Doopanahalli Bus Stop","Old Airport Road, Manipal Hospital Junction, Kodihalli, Bengaluru, Karnataka. Pin-560008 (India)",6.86,95.0,Very High,Deploy Towing Vehicle + 3 Officers + Barricade Support,3,08:00 PM - 08:00 AM (Night Monitoring Focus)
ZONE_021,Marathahalli Underpass / HAL Old Airport Zone,HAL Old Airport,No Junction,"Marathahalli Underpass, Ashwath Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",6.63,94.8,Very High,Deploy Towing Vehicle + 3 Officers + Barricade Support,3,08:00 PM - 08:00 AM (Night Monitoring Focus)
ZONE_043,Dr Rajkumar Puniya Bhoomi Road / Rajajinagar Zone,Rajajinagar,No Junction,"Dr Rajkumar Puniya Bhoomi Road, Block 2, Nandini Layout, Bengaluru, Karnataka. Pin-560096 (India)",6.55,94.6,Very High,Deploy Towing Vehicle + 3 Officers + Barricade Support,3,11:00 AM - 05:00 PM (Midday Traffic Focus)
ZONE_023,Hosur Road / HSR Layout Zone,HSR Layout,No Junction,"Hosapalya Main Road, BKL Colony, Bommanahalli, Bengaluru, Karnataka. Pin-560068 (India)",6.49,94.4,Very High,Deploy Towing Vehicle + 3 Officers + Barricade Support,3,11:00 AM - 05:00 PM (Midday Traffic Focus)
ZONE_012,ITPL Main Road / HAL Old Airport Zone,HAL Old Airport,No Junction,"ITPL Main Road, Brigade Tech Gardens, Brookefield, Bengaluru, Karnataka. Pin-560037 (India)",6.32,94.2,Very High,Deploy Towing Vehicle + 3 Officers + Barricade Support,3,08:00 PM - 08:00 AM (Night Monitoring Focus)
ZONE_079,Dr Vishwesha Teertha Swamy Gala Road / Katriguppe Zone,Banashankari,BTP155 - Katriguppe Junction,"Dr Vishwesha Teertha Swamy Gala Road, Kathriguppe Circle, Banashankari Stage 3, Bengaluru, Karnataka. Pin-560085 (India)",6.01,94.1,Very High,Deploy Towing Vehicle + 3 Officers + Barricade Support,3,11:00 AM - 05:00 PM (Midday Traffic Focus)
ZONE_039,"Konanakunte Main Road / Sahasra Hospital, Jayanagar Zone",Jayanagara,"BTP115 - Sahasra Hospital, Jayanagar","Konanakunte Main Road, Banashankari Bus Stand Junction, JP Nagar Phase 1, Bengaluru, Karnataka. Pin-560070 (India)",5.73,93.9,Very High,Deploy Towing Vehicle + 3 Officers + Barricade Support,3,08:00 PM - 08:00 AM (Night Monitoring Focus)
ZONE_064,5th Main Road / Vanivillas Zone,Basavanagudi,BTP215 - Vanivillas Junction,"5th Main Road, Dhondusa Layout, Basavanagudi, Bengaluru, Karnataka. Pin-560004 (India)",5.7,93.7,Very High,Deploy Towing Vehicle + 3 Officers + Barricade Support,3,08:00 PM - 08:00 AM (Night Monitoring Focus)
ZONE_044,JJR Main Road / Sirsi Circle Zone,Magadi Road,BTP091 - Sirsi Circle,"JJR Main Road, JJR Nagar Circle, JJR Nagar North, Bengaluru, Karnataka. Pin-560018 (India)",5.67,93.5,Very High,Deploy Towing Vehicle + 3 Officers + Barricade Support,3,08:00 PM - 08:00 AM (Night Monitoring Focus)
ZONE_032,ITPL Main Road / HAL Old Airport Zone,HAL Old Airport,No Junction,"ITPL Main Road, SJR Brooklyn Apartment, Kundalhalli, Bengaluru, Karnataka. Pin-560037 (India)",5.64,93.3,Very High,Deploy Towing Vehicle + 3 Officers + Barricade Support,3,08:00 PM - 08:00 AM (Night Monitoring Focus)
ZONE_020,Mysore Road / Gali Anjaneya Temple Zone,Byatarayanapura,BTP096 - Gali Anjaneya Temple,"Mysore Road, Satellite Bus Stand Junction, New Timber Yard Layout, Bengaluru, Karnataka. Pin-560026 (India)",5.51,93.0,Very High,Deploy Towing Vehicle + 3 Officers + Barricade Support,3,08:00 PM - 08:00 AM (Night Monitoring Focus)
ZONE_047,Bellary Road / Mekhri Circle Zone,R.T. Nagar,BTP030 - Mekhri Circle,"Bellary Road, HGH Layout, Ganga Nagar, Bengaluru, Karnataka. Pin-560032 (India)",5.51,93.0,Very High,Deploy Towing Vehicle + 3 Officers + Barricade Support,3,11:00 AM - 05:00 PM (Midday Traffic Focus)
ZONE_033,Dr Siddaiah Puranik Marg / Havanur Circle Zone,Vijayanagara,BTP208 - Havanur Circle,"Dr Siddaiah Puranik Marg, Havanur Circle, Basaveshwara Nagar, Bengaluru, Karnataka. Pin-560079 (India)",5.49,92.8,Very High,Deploy Towing Vehicle + 3 Officers + Barricade Support,3,11:00 AM - 05:00 PM (Midday Traffic Focus)
ZONE_028,Mumbai Bengaluru Highway / Yeshwanthpura Zone,Yeshwanthpura,No Junction,"Mumbai Bengaluru Highway, Gorguntepalya Junction, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)",5.48,92.6,Very High,Deploy Towing Vehicle + 3 Officers + Barricade Support,3,08:00 PM - 08:00 AM (Night Monitoring Focus)
ZONE_046,Chinmaya Mission Hospital Road / Jeevanbheemanagar Zone,Jeevanbheemanagar,No Junction,"Chinmaya Mission Hospital Road, KFC Circle, Indiranagar, Bengaluru, Karnataka. Pin-560038 (India)",5.41,92.4,Very High,Deploy Towing Vehicle + 3 Officers + Barricade Support,3,08:00 AM - 11:00 AM (Morning Peak Focus)
ZONE_027,Kadidal Manjappa Road / Nanjappa Circle Zone,Ashok Nagar,BTP172 - Nanjappa Circle,"O Shaughnessy Road, Divyasree Chambers, Langford Garden, Richmond Town, Bengaluru, Karnataka. Pin-560025 (India)",4.93,92.2,Very High,Deploy Towing Vehicle + 3 Officers + Barricade Support,3,08:00 PM - 08:00 AM (Night Monitoring Focus)
ZONE_042,Jakkur Main Road / Yelahanka Zone,Yelahanka,No Junction,"Jakkur Main Road, Raitarasanthe, Nehru Nagar, Bengaluru, Karnataka. Pin-560064 (India)",4.82,92.0,Very High,Deploy Towing Vehicle + 3 Officers + Barricade Support,3,08:00 PM - 08:00 AM (Night Monitoring Focus)
ZONE_053,Dr Rajkumar Puniya Bhoomi Road / Rajajinagar Zone,Rajajinagar,No Junction,"Laggere Service Road, Narasimhaswamy Layout, Laggere, Bengaluru, Karnataka. Pin-560058 (India)",4.69,91.8,Very High,Deploy Towing Vehicle + 3 Officers + Barricade Support,3,11:00 AM - 05:00 PM (Midday Traffic Focus)
ZONE_035,Dr Ambedkar Road / Gopal Gowda Circle Zone,Cubbon Park,BTP041 - Gopal Gowda Circle,"Dr Ambedkar Road, Shanthaveri Gopalagowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560001 (India)",4.67,91.7,Very High,Deploy Towing Vehicle + 3 Officers + Barricade Support,3,08:00 PM - 08:00 AM (Night Monitoring Focus)
ZONE_040,20th Main Road / Kodigehalli Zone,Kodigehalli,No Junction,"20th Main Road, Block G, Sahakara Nagar, Bengaluru, Karnataka. Pin-560092 (India)",4.65,91.5,Very High,Deploy Towing Vehicle + 3 Officers + Barricade Support,3,11:00 AM - 05:00 PM (Midday Traffic Focus)
ZONE_013,Palace Road / Windsor Circle Zone,High ground,BTP032 - Windsor Circle,"Palace Road, Kalpana Circle, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",4.5,91.3,Very High,Deploy Towing Vehicle + 3 Officers + Barricade Support,3,08:00 PM - 08:00 AM (Night Monitoring Focus)
ZONE_030,Pusa Thippasandra Main Road / Jeevanbheemanagar Zone,Jeevanbheemanagar,No Junction,"Pusa Thippasandra Main Road, Nada Prabhu Kempegowda Circle, New Thippasandra, Bengaluru, Karnataka. Pin-560075 (India)",4.45,91.1,Very High,Deploy Towing Vehicle + 3 Officers + Barricade Support,3,08:00 AM - 11:00 AM (Morning Peak Focus)
ZONE_048,Amrutha College Road / Bellandur Zone,Bellandur,No Junction,"Amrutha College Road, Azalea, Owners Court Layout, Kasavanahalli, Bengaluru, Karnataka. Pin-560035 (India)",4.24,90.9,Very High,Deploy Towing Vehicle + 3 Officers + Barricade Support,3,11:00 AM - 05:00 PM (Midday Traffic Focus)
ZONE_054,Hosa Road / Electronic City Zone,Electronic City,No Junction,"Hosa Road, Channakeshava Nagar, Singasandra, Bengaluru, Karnataka. Pin-560100 (India)",4.07,90.7,Very High,Deploy Towing Vehicle + 3 Officers + Barricade Support,3,11:00 AM - 05:00 PM (Midday Traffic Focus)
ZONE_058,Outer Ring Road / Mahadevapura Zone,Mahadevapura,No Junction,"Outer Ring Road, Doddanekundi, Bengaluru, Karnataka. Pin-560037 (India)",4.06,90.5,Very High,Deploy Towing Vehicle + 3 Officers + Barricade Support,3,08:00 PM - 08:00 AM (Night Monitoring Focus)
ZONE_045,Domlur Inner Ring Road / Madiwala Traffic PS Zone,Madiwala,BTP137 - Madiwala Traffic PS Junction,"Domlur Inner Ring Road, Block 2, Koramangala, Bengaluru, Karnataka. Pin-560068 (India)",3.94,90.4,Very High,Deploy Towing Vehicle + 3 Officers + Barricade Support,3,08:00 PM - 08:00 AM (Night Monitoring Focus)
ZONE_038,Bengaluru Bellary Road / Chikkajala Zone,Chikkajala,No Junction,"Bengaluru Bellary Road, Sadahalli Gate Junction, Navarathna Agrahara, Bengaluru, Karnataka. Pin-562157 (India)",3.67,90.2,Very High,Deploy Towing Vehicle + 3 Officers + Barricade Support,3,08:00 PM - 08:00 AM (Night Monitoring Focus)
ZONE_034,4th Main Road / Attiguppe Circle Zone,Byatarayanapura,BTP017 - Attiguppe Circle,"4th Main Road, Sri Basaveshwara HBCS, Phase 1, Chandra Layout Stage 2, Bengaluru, Karnataka. Pin-560040 (India)",3.56,90.0,Very High,Deploy Towing Vehicle + 3 Officers + Barricade Support,3,11:00 AM - 05:00 PM (Midday Traffic Focus)
ZONE_052,RT Nagar Main Road / R.T. Nagar Zone,R.T. Nagar,No Junction,"RT Nagar Main Road, Judicial Officers HBCS, Ganga Nagar, Bengaluru, Karnataka. Pin-560032 (India)",3.56,90.0,Very High,Deploy Towing Vehicle + 3 Officers + Barricade Support,3,08:00 PM - 08:00 AM (Night Monitoring Focus)
ZONE_112,RV Road / Lalbagh West Gate Zone,Basavanagudi,BTP184 - Lalbagh West Gate,"RV Road, Lalbhagh West Gate Circle, Mavalli, Bengaluru, Karnataka. Pin-560004 (India)",2.53,89.6,High,Deploy 2 Officers + Active Patrol Monitoring,2,08:00 PM - 08:00 AM (Night Monitoring Focus)
ZONE_069,"1st Main Road / 10th Cross, Wilson Garden Zone",Wilson Garden,"BTP123 - 10th Cross, Wilson Garden","1st Main Road, Arepanahalli, Wilson Garden, Bengaluru, Karnataka. Pin-560027 (India)",2.52,89.4,High,Deploy 2 Officers + Active Patrol Monitoring,2,11:00 AM - 05:00 PM (Midday Traffic Focus)
ZONE_059,Gnana Bharathi Road / Byatarayanapura Zone,Byatarayanapura,No Junction,"Gnana Bharathi Road, Manasa Layout, Nagarbhavi, Bengaluru, Karnataka. Pin-560072 (India)",2.48,89.2,High,Deploy 2 Officers + Active Patrol Monitoring,2,11:00 AM - 05:00 PM (Midday Traffic Focus)
ZONE_111,"H Siddiah Road / 10th Cross, Wilson Garden Zone",Wilson Garden,"BTP123 - 10th Cross, Wilson Garden","H Siddiah Road, Narayanpura, Wilson Garden, Bengaluru, Karnataka. Pin-560030 (India)",2.42,89.1,High,Deploy 2 Officers + Active Patrol Monitoring,2,08:00 AM - 11:00 AM (Morning Peak Focus)
ZONE_083,Dr BR Ambedkar Road / HAL Old Airport Zone,HAL Old Airport,No Junction,"Dr BR Ambedkar Road, HAL Circle, Airport Area, Bengaluru, Karnataka. Pin-560017 (India)",2.24,88.9,High,Deploy 2 Officers + Active Patrol Monitoring,2,08:00 PM - 08:00 AM (Night Monitoring Focus)
ZONE_092,13th Cross Road / Sadashivanagar Zone,Sadashivanagar,No Junction,"3rd Main Road, Bashyam Circle, Sadashiva Nagar, Bengaluru, Karnataka. Pin-560080 (India)",2.14,88.7,High,Deploy 2 Officers + Active Patrol Monitoring,2,08:00 AM - 11:00 AM (Morning Peak Focus)
ZONE_109,Old Kanakapura Road / Yediyur Zone,Basavanagudi,BTP216 - Yediyur Junction,"Old Kanakapura Road, Krest Park Apartment, Basavanagudi, Bengaluru, Karnataka. Pin-560004 (India)",2.11,88.5,High,Deploy 2 Officers + Active Patrol Monitoring,2,08:00 PM - 08:00 AM (Night Monitoring Focus)
ZONE_063,Thavarekere Main Road / Madiwala Check Post Zone,Mico Layout,BTP140 - Madiwala Check Post,"Thavarekere Main Road, Prestige Lexington Towers, Sadduguntepalya, Bengaluru, Karnataka. Pin-560029 (India)",2.08,88.3,High,Deploy 2 Officers + Active Patrol Monitoring,2,08:00 PM - 08:00 AM (Night Monitoring Focus)
ZONE_077,Konanakunte Main Road / Thalagattapura Zone,Thalagattapura,No Junction,"Konanakunte Main Road, Gopalan Jewels, Siddanna Layout, Bikaspura, Bengaluru, Karnataka. Pin-560062 (India)",1.99,88.1,High,Deploy 2 Officers + Active Patrol Monitoring,2,11:00 AM - 05:00 PM (Midday Traffic Focus)
ZONE_061,Bellary Road / Kodigehalli Zone,Kodigehalli,No Junction,"Bellary Road, Esteem Mall, Hebbal Kempapura, Bengaluru, Karnataka. Pin-560024 (India)",1.92,87.9,High,Deploy 2 Officers + Active Patrol Monitoring,2,08:00 PM - 08:00 AM (Night Monitoring Focus)
ZONE_074,"24th Main Road / 9th Cross, 24th Main, JP Nagar Zone",J.P. Nagar,"BTP197 - 9th Cross, 24th Main, JP Nagar","9th Cross Road, Mayura Circle, JP Nagar Phase 1, Bengaluru, Karnataka. Pin-560078 (India)",1.78,87.8,High,Deploy 2 Officers + Active Patrol Monitoring,2,11:00 AM - 05:00 PM (Midday Traffic Focus)
ZONE_202,Doddagubbi Road / Hennuru Zone,Hennuru,No Junction,"Doddagubbi Road, Chikka Aneppa Layout, Narayanpura, Kothnur Narayanapura, Bengaluru, Karnataka. Pin-560077 (India)",1.73,87.6,High,Deploy 2 Officers + Active Patrol Monitoring,2,11:00 AM - 05:00 PM (Midday Traffic Focus)
ZONE_050,"7th Cross Road / 16th Main Road, BTM Layout Zone",Mico Layout,"BTP163 - 16th Main Road, BTM Layout","7th Cross Road, MICO Layout, BTM Layout Stage 2, Bengaluru, Karnataka. Pin-560076 (India)",1.7,87.4,High,Deploy 2 Officers + Active Patrol Monitoring,2,11:00 AM - 05:00 PM (Midday Traffic Focus)
ZONE_062,Sarjapura Main Road / Bellandur Zone,Bellandur,No Junction,"Sarjapura Main Road, Kaikondrahalli, Bengaluru, Karnataka. Pin-560035 (India)",1.65,87.2,High,Deploy 2 Officers + Active Patrol Monitoring,2,11:00 AM - 05:00 PM (Midday Traffic Focus)
ZONE_075,Magadi Main Road / Kamakshipalya Zone,Kamakshipalya,No Junction,"Magadi Main Road, Hanumantharayan Palya, Sunkadakatte, Bengaluru, Karnataka. Pin-560091 (India)",1.61,87.0,High,Deploy 2 Officers + Active Patrol Monitoring,2,11:00 AM - 05:00 PM (Midday Traffic Focus)
ZONE_168,"RV Road / 9th Cross, 4th Main, Jayanagar Zone",Basavanagudi,"BTP186 - 9th Cross, 4th Main, Jayanagar","RV Road, Cauvery Circle, Jayanagar, Bengaluru, Karnataka. Pin-560004 (India)",1.6,86.8,High,Deploy 2 Officers + Active Patrol Monitoring,2,08:00 AM - 11:00 AM (Morning Peak Focus)
ZONE_073,Vibgyor High School Road / Whitefield Zone,Whitefield,No Junction,"Vibgyor High School Road, Samhita Rainbow MTB Apartment, Green Garden Layout, Munnekolala, Bengaluru, Karnataka. Pin-560037 (India)",1.59,86.5,High,Deploy 2 Officers + Active Patrol Monitoring,2,08:00 AM - 11:00 AM (Morning Peak Focus)
ZONE_078,Mysore Road / Nayandahalli Zone,Byatarayanapura,BTP098 - Nayandahalli Junction,"Mysore Road, Dr Ambedkar Nagar, Nayandahalli, Bengaluru, Karnataka. Pin-560039 (India)",1.59,86.5,High,Deploy 2 Officers + Active Patrol Monitoring,2,11:00 AM - 05:00 PM (Midday Traffic Focus)
ZONE_179,Sulibele Road / Devanahalli Airport Zone,Devanahalli Airport,No Junction,"Sulibele Road, Giriyamma Circle, Devanahalli, Karnataka. Pin-562110 (India)",1.59,86.5,High,Deploy 2 Officers + Active Patrol Monitoring,2,08:00 AM - 11:00 AM (Morning Peak Focus)
ZONE_066,1st Main Road / Hosur-Tavarkere Road Zone,Mico Layout,BTP136 - Hosur-Tavarkere Road Junction,"Sadduguntepalya Road, Bharthi Layout, Sadduguntepalya, Bengaluru, Karnataka. Pin-560029 (India)",1.58,86.1,High,Deploy 2 Officers + Active Patrol Monitoring,2,08:00 PM - 08:00 AM (Night Monitoring Focus)
ZONE_085,Mysore Road / Sirsi Circle Zone,Chamarajpet,BTP091 - Sirsi Circle,"Albert Victor Road, Sirsi Circle, Chamarajpet, Bengaluru, Karnataka. Pin-560018 (India)",1.57,85.9,High,Deploy 2 Officers + Active Patrol Monitoring,2,08:00 PM - 08:00 AM (Night Monitoring Focus)
ZONE_057,Bellary Road / Kodigehalli Zone,Kodigehalli,No Junction,"Bellary Road, Godrej Platinum, Hebbal Kempapura, Bengaluru, Karnataka. Pin-560024 (India)",1.56,85.7,High,Deploy 2 Officers + Active Patrol Monitoring,2,11:00 AM - 05:00 PM (Midday Traffic Focus)
ZONE_067,Millers Road / LRDE Zone,High ground,BTP034 - LRDE Junction,"Millers Road, BKM Gowda Circle, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",1.48,85.5,High,Deploy 2 Officers + Active Patrol Monitoring,2,08:00 AM - 11:00 AM (Morning Peak Focus)
ZONE_082,Sarjapura Main Road / Bellandur Zone,Bellandur,No Junction,"Sarjapura Main Road, Divyasree Elan Homes, Bellandur, Bengaluru, Karnataka. Pin-560103 (India)",1.46,85.3,High,Deploy 2 Officers + Active Patrol Monitoring,2,11:00 AM - 05:00 PM (Midday Traffic Focus)
ZONE_071,Anna Basavanna Road / Windsor Circle Zone,Sheshadripuram,BTP032 - Windsor Circle,"Anna Basavanna Road, RV Layout, Seshadripuram, Bengaluru, Karnataka. Pin-560020 (India)",1.46,85.3,High,Deploy 2 Officers + Active Patrol Monitoring,2,08:00 AM - 11:00 AM (Morning Peak Focus)
ZONE_134,Siddhapura Road / Wilson Garden Zone,Wilson Garden,No Junction,"Siddhapura Road, Siddapura Circle, Mavalli, Bengaluru, Karnataka. Pin-560004 (India)",1.44,85.0,High,Deploy 2 Officers + Active Patrol Monitoring,2,08:00 PM - 08:00 AM (Night Monitoring Focus)
