zone_id,zone_name,latitude,longitude,total_violations,parking_related_violations,hotspot_score,hotspot_band,top_police_station,top_location,dominant_time_bucket,dominant_hour,peak_share
ZONE_036,"9th Main Road / 9th Cross, 4th Main, Jayanagar Zone",12.938720329345951,77.5845441510813,979,1014,53.98,Very High,Wilson Garden,"9th Main Road, Block 2, Jayanagar East, Bengaluru, Karnataka. Pin-560011 (India)",midday,11,0.3708
ZONE_035,Dr Ambedkar Road / Gopal Gowda Circle Zone,12.978794667882338,77.59055938899336,982,1074,53.53,Very High,Cubbon Park,"Dr Ambedkar Road, Shanthaveri Gopalagowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560001 (India)",night,2,0.4308
ZONE_037,Srinivagilu Main Road / Adugodi Zone,12.930974944328824,77.63211034370447,961,1079,53.47,Very High,Adugodi,"Srinivagilu Main Road, ST Bed Layout Extension, Block 4, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",night,2,0.283
ZONE_043,Dr Rajkumar Puniya Bhoomi Road / Rajajinagar Zone,13.018611691319858,77.53172161307967,841,1079,52.87,Very High,Rajajinagar,"Dr Rajkumar Puniya Bhoomi Road, Block 2, Nandini Layout, Bengaluru, Karnataka. Pin-560096 (India)",midday,11,0.2925
ZONE_046,Chinmaya Mission Hospital Road / Jeevanbheemanagar Zone,12.979066165208426,77.640428421658,720,1135,52.58,Very High,Jeevanbheemanagar,"Chinmaya Mission Hospital Road, KFC Circle, Indiranagar, Bengaluru, Karnataka. Pin-560038 (India)",morning_peak,9,0.5028
ZONE_044,JJR Main Road / Sirsi Circle Zone,12.964384082833133,77.55400488559424,833,1061,51.94,Very High,Magadi Road,"JJR Main Road, JJR Nagar Circle, JJR Nagar North, Bengaluru, Karnataka. Pin-560018 (India)",night,2,0.2749
ZONE_039,"Konanakunte Main Road / Sahasra Hospital, Jayanagar Zone",12.91465174795961,77.5742680672646,940,971,51.7,Very High,Jayanagara,"Konanakunte Main Road, Banashankari Bus Stand Junction, JP Nagar Phase 1, Bengaluru, Karnataka. Pin-560070 (India)",night,3,0.1553
ZONE_040,20th Main Road / Kodigehalli Zone,13.062839312703582,77.58915527730727,921,1071,51.5,Very High,Kodigehalli,"20th Main Road, Block G, Sahakara Nagar, Bengaluru, Karnataka. Pin-560092 (India)",midday,13,0.1292
ZONE_041,Old Madras Road / Banaswadi Zone,12.99356406145191,77.66251571744283,905,906,51.33,Very High,Banaswadi,"Old Madras Road, Gopalan Signature Mall, Nagavara Palya, CV Raman Nagar, Bengaluru, Karnataka. Pin-560093 (India)",midday,14,0.284
ZONE_038,Bengaluru Bellary Road / Chikkajala Zone,13.191244329831223,77.64622122568565,948,1329,51.19,Very High,Chikkajala,"Bengaluru Bellary Road, Sadahalli Gate Junction, Navarathna Agrahara, Bengaluru, Karnataka. Pin-562157 (India)",night,1,0.2975
ZONE_045,Domlur Inner Ring Road / Madiwala Traffic PS Zone,12.924560071707582,77.61918488617012,795,851,51.19,Very High,Madiwala,"Domlur Inner Ring Road, Block 2, Koramangala, Bengaluru, Karnataka. Pin-560068 (India)",night,1,0.3308
ZONE_047,Bellary Road / Mekhri Circle Zone,13.024721790288188,77.58526715329614,720,746,50.87,Very High,R.T. Nagar,"Bellary Road, HGH Layout, Ganga Nagar, Bengaluru, Karnataka. Pin-560032 (India)",midday,10,0.4903
ZONE_034,4th Main Road / Attiguppe Circle Zone,12.960829543334164,77.52826063286457,984,1068,50.76,Very High,Byatarayanapura,"4th Main Road, Sri Basaveshwara HBCS, Phase 1, Chandra Layout Stage 2, Bengaluru, Karnataka. Pin-560040 (India)",midday,12,0.2266
ZONE_053,Dr Rajkumar Puniya Bhoomi Road / Rajajinagar Zone,13.005929848130082,77.5264719112195,615,943,50.0,Very High,Rajajinagar,"Laggere Service Road, Narasimhaswamy Layout, Laggere, Bengaluru, Karnataka. Pin-560058 (India)",midday,11,0.2585
ZONE_051,1st Cross Road / GD Mara Zone,12.90801301197411,77.60082311488672,618,641,49.68,Very High,Mico Layout,"1st Cross Road, Sarakki Industrial Layout, JP Nagar Phase 3, Bengaluru, Karnataka. Pin-560078 (India)",morning_peak,11,0.555
ZONE_049,Whitefield Road / Whitefield Zone,12.987432831185943,77.73454871273792,683,1634,49.39,Very High,Whitefield,"Whitefield Road, Sadaramangala Industrial Area, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)",night,4,0.1991
ZONE_048,Amrutha College Road / Bellandur Zone,12.900531024414095,77.67552813603027,691,704,49.2,Very High,Bellandur,"Amrutha College Road, Azalea, Owners Court Layout, Kasavanahalli, Bengaluru, Karnataka. Pin-560035 (India)",midday,11,0.3271
ZONE_058,Outer Ring Road / Mahadevapura Zone,12.979157942090096,77.6951545118577,529,1182,49.13,Very High,Mahadevapura,"Outer Ring Road, Doddanekundi, Bengaluru, Karnataka. Pin-560037 (India)",night,3,0.2684
ZONE_054,Hosa Road / Electronic City Zone,12.870561056919563,77.65487131049994,575,630,48.14,Very High,Electronic City,"Hosa Road, Channakeshava Nagar, Singasandra, Bengaluru, Karnataka. Pin-560100 (India)",midday,12,0.2939
ZONE_052,RT Nagar Main Road / R.T. Nagar Zone,13.021694749025974,77.59254863685065,616,624,47.8,Very High,R.T. Nagar,"RT Nagar Main Road, Judicial Officers HBCS, Ganga Nagar, Bengaluru, Karnataka. Pin-560032 (India)",night,4,0.362
ZONE_042,Jakkur Main Road / Yelahanka Zone,13.097254623432208,77.59933732899819,842,862,47.59,Very High,Yelahanka,"Jakkur Main Road, Raitarasanthe, Nehru Nagar, Bengaluru, Karnataka. Pin-560064 (India)",night,2,0.0558
ZONE_055,Shri Ramalingeshwara Cave Temple Road / Hulimavu Zone,12.875969857027194,77.59582803188269,574,576,47.36,High,Hulimavu,"Shri Ramalingeshwara Cave Temple Road, Royal Meenakshi Mall, Hulimavu, Bengaluru, Karnataka. Pin-560076 (India)",midday,6,0.399
ZONE_059,Gnana Bharathi Road / Byatarayanapura Zone,12.957302399724236,77.51880889692536,529,703,47.24,High,Byatarayanapura,"Gnana Bharathi Road, Manasa Layout, Nagarbhavi, Bengaluru, Karnataka. Pin-560072 (India)",midday,12,0.1928
ZONE_062,Sarjapura Main Road / Bellandur Zone,12.912448023334639,77.68093022218578,474,489,46.78,High,Bellandur,"Sarjapura Main Road, Kaikondrahalli, Bengaluru, Karnataka. Pin-560035 (India)",midday,9,0.5443
ZONE_057,Bellary Road / Kodigehalli Zone,13.056724595441949,77.59263581897508,533,548,46.59,High,Kodigehalli,"Bellary Road, Godrej Platinum, Hebbal Kempapura, Bengaluru, Karnataka. Pin-560024 (India)",midday,11,0.2251
ZONE_050,"7th Cross Road / 16th Main Road, BTM Layout Zone",12.913773928843106,77.60664838779714,631,634,46.47,High,Mico Layout,"7th Cross Road, MICO Layout, BTM Layout Stage 2, Bengaluru, Karnataka. Pin-560076 (India)",midday,5,0.1933
ZONE_063,Thavarekere Main Road / Madiwala Check Post Zone,12.928405841774891,77.60954486796535,462,772,46.43,High,Mico Layout,"Thavarekere Main Road, Prestige Lexington Towers, Sadduguntepalya, Bengaluru, Karnataka. Pin-560029 (India)",night,2,0.1688
ZONE_073,Vibgyor High School Road / Whitefield Zone,12.951439568419085,77.71746167328988,399,779,46.02,High,Whitefield,"Vibgyor High School Road, Samhita Rainbow MTB Apartment, Green Garden Layout, Munnekolala, Bengaluru, Karnataka. Pin-560037 (India)",morning_peak,8,0.5288
ZONE_071,Anna Basavanna Road / Windsor Circle Zone,12.996941694358714,77.58420467997206,403,518,45.82,High,Sheshadripuram,"Anna Basavanna Road, RV Layout, Seshadripuram, Bengaluru, Karnataka. Pin-560020 (India)",morning_peak,10,0.8685
ZONE_070,"BMTC Junction, KH Road / Wilson Garden Zone",12.954128217199017,77.59167448501229,407,420,45.61,High,Wilson Garden,"BTS Main Road, BMTC Junction, Wilson Garden, Bengaluru, Karnataka. Pin-560027 (India)",morning_peak,9,0.6609
ZONE_067,Millers Road / LRDE Zone,12.989968716115278,77.59310315529751,411,418,45.45,High,High ground,"Millers Road, BKM Gowda Circle, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",morning_peak,6,0.6058
ZONE_074,"24th Main Road / 9th Cross, 24th Main, JP Nagar Zone",12.912860512198671,77.58603575050624,397,442,45.39,High,J.P. Nagar,"9th Cross Road, Mayura Circle, JP Nagar Phase 1, Bengaluru, Karnataka. Pin-560078 (India)",midday,11,0.3778
ZONE_069,"1st Main Road / 10th Cross, Wilson Garden Zone",12.945093340980451,77.59544410149879,407,409,45.38,High,Wilson Garden,"1st Main Road, Arepanahalli, Wilson Garden, Bengaluru, Karnataka. Pin-560027 (India)",midday,4,0.3636
ZONE_064,5th Main Road / Vanivillas Zone,12.941664014189328,77.56708850065142,445,452,44.8,High,Basavanagudi,"5th Main Road, Dhondusa Layout, Basavanagudi, Bengaluru, Karnataka. Pin-560004 (India)",night,3,0.3101
ZONE_068,Mysore Road / Byatarayanapura Zone,12.936076859705159,77.51803184963146,407,433,44.58,High,Byatarayanapura,"Sri Sri Sri Tiruchi Mahaswamiji Road, Gopalan Arcade, Nayandahalli, Bengaluru, Karnataka. Pin-560039 (India)",midday,11,0.4005
ZONE_060,Mallathahalli Road / Jnanabharathi Zone,12.960972531352459,77.51160697008196,488,525,44.49,High,Jnanabharathi,"Mallathahalli Road, Sri Gurukrupa Layout, Nagarbhavi Stage 2, Bengaluru, Karnataka. Pin-560072 (India)",midday,12,0.1885
ZONE_056,5th Cross Road / K.G. Halli Zone,13.035027955161627,77.62438110759058,552,564,44.4,High,K.G. Halli,"5th Cross Road, Rajath Greens, Block 5 Stage 1, HBR Layout, Bengaluru, Karnataka. Pin-560043 (India)",night,3,0.0797
ZONE_061,Bellary Road / Kodigehalli Zone,13.050020058178054,77.59312607722568,483,556,44.3,High,Kodigehalli,"Bellary Road, Esteem Mall, Hebbal Kempapura, Bengaluru, Karnataka. Pin-560024 (India)",night,3,0.2629
ZONE_065,Hosur Road / Electronic City Zone,12.840483666591686,77.6768805491066,416,573,44.25,High,Electronic City,"Hosur Road, Salarpuria Sattva Alexandria Tech Park, Veerasandra Industrial Area, Bengaluru, Karnataka. Pin-560100 (India)",midday,9,0.4639
ZONE_075,Magadi Main Road / Kamakshipalya Zone,12.989659979878123,77.50190635052708,379,426,43.82,High,Kamakshipalya,"Magadi Main Road, Hanumantharayan Palya, Sunkadakatte, Bengaluru, Karnataka. Pin-560091 (India)",midday,10,0.4512
ZONE_076,Jalahalli Cross Road / Peenya Zone,13.039933378415299,77.51854056448087,366,476,43.19,High,Peenya,"Jalahalli Cross Road, Jalahalli Cross Junction, Peenya, Bengaluru, Karnataka. Pin-560058 (India)",night,11,0.2432
ZONE_078,Mysore Road / Nayandahalli Zone,12.942067199713467,77.52565029312322,349,420,43.13,High,Byatarayanapura,"Mysore Road, Dr Ambedkar Nagar, Nayandahalli, Bengaluru, Karnataka. Pin-560039 (India)",midday,11,0.2865
ZONE_072,Allalasandra Main Road / Yelahanka Zone,13.093635496774194,77.5942196471464,403,405,43.03,High,Yelahanka,"Allalasandra Main Road, Taralabalu Enclave, Yelahanka, Bengaluru, Karnataka. Pin-560064 (India)",midday,5,0.3945
ZONE_077,Konanakunte Main Road / Thalagattapura Zone,12.88852484835701,77.56263129735079,366,370,42.74,High,Thalagattapura,"Konanakunte Main Road, Gopalan Jewels, Siddanna Layout, Bikaspura, Bengaluru, Karnataka. Pin-560062 (India)",midday,11,0.3306
ZONE_066,1st Main Road / Hosur-Tavarkere Road Zone,12.930901487651331,77.60663395472156,413,431,42.73,High,Mico Layout,"Sadduguntepalya Road, Bharthi Layout, Sadduguntepalya, Bengaluru, Karnataka. Pin-560029 (India)",night,2,0.2203
ZONE_081,MS Ramaiah Road / Yeshwanthpura Zone,13.033605516602409,77.55793675238587,328,526,42.65,High,Yeshwanthpura,"MS Ramaiah Road, Mattikere Layout, Mathikere Extension, Bengaluru, Karnataka. Pin-560054 (India)",night,3,0.2896
ZONE_079,Dr Vishwesha Teertha Swamy Gala Road / Katriguppe Zone,12.926700667062313,77.55075739643917,337,364,42.56,High,Banashankari,"Dr Vishwesha Teertha Swamy Gala Road, Kathriguppe Circle, Banashankari Stage 3, Bengaluru, Karnataka. Pin-560085 (India)",midday,11,0.3976
ZONE_082,Sarjapura Main Road / Bellandur Zone,12.917411951541526,77.67223263725167,302,386,42.46,High,Bellandur,"Sarjapura Main Road, Divyasree Elan Homes, Bellandur, Bengaluru, Karnataka. Pin-560103 (India)",midday,10,0.4106
ZONE_085,Mysore Road / Sirsi Circle Zone,12.959791703169014,77.55844449753522,284,429,42.18,High,Chamarajpet,"Albert Victor Road, Sirsi Circle, Chamarajpet, Bengaluru, Karnataka. Pin-560018 (India)",night,3,0.2254
ZONE_096,"East End A Main Road / East End Main Road, Jayanagar Zone",12.91715174,77.59606377958333,240,694,41.49,High,Jayanagara,"East End A Main Road, Dr BR Ambedkar Circle, Jayanagar, Bengaluru, Karnataka. Pin-560069 (India)",night,2,0.2708
ZONE_092,13th Cross Road / Sadashivanagar Zone,13.006934372874495,77.57961178218623,247,309,41.24,High,Sadashivanagar,"3rd Main Road, Bashyam Circle, Sadashiva Nagar, Bengaluru, Karnataka. Pin-560080 (India)",morning_peak,11,0.502
ZONE_080,Hosur Road / Hulimavu Zone,12.875935908982035,77.64791313263473,334,335,40.74,High,Hulimavu,"Hosur Road, Singasandra Industrial Estate, Begur, Bengaluru, Karnataka. Pin-560068 (India)",night,2,0.1497
ZONE_087,Mumbai Bengaluru Highway / Peenya Zone,13.045429899245283,77.50701488226414,265,274,40.62,High,Peenya,"Mumbai Bengaluru Highway, Hesaragatta Cross Junction, T Dasarahalli, Bengaluru, Karnataka. Pin-560057 (India)",morning_peak,6,0.4491
ZONE_084,Bellahali Main Road / Chikkajala Zone,13.121564813050849,77.63117337237288,295,431,40.51,High,Chikkajala,"Bellahali Main Road, Niranthara Layout, Dwarka Nagar, Kattigenahalli, Bengaluru, Karnataka. Pin-560063 (India)",night,13,0.278
ZONE_090,27th Main Road / HSR Layout Zone,12.915735919762845,77.65170410632413,253,253,40.01,High,HSR Layout,"27th Main Road, Sector 1, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",midday,11,0.5494
ZONE_089,Hosur Road / Hosur-Tavarkere Road Zone,12.936119257142856,77.60693821389961,259,377,39.91,High,Mico Layout,"Hosur Road, Prestige Blue Chip Software Park, Dairy Colony, Adugodi, Bengaluru, Karnataka. Pin-560029 (India)",night,2,0.2741
ZONE_086,CMR Road / Banaswadi Zone,13.022293272048541,77.63863035729435,266,267,39.88,High,Banaswadi,"CMR Road, Jahnavi Layout, Kalyan Nagar, Bengaluru, Karnataka. Pin-560043 (India)",midday,13,0.3534
ZONE_102,Dairy Circle Flyover Underpass / Dairy Circle Zone,12.936806777464788,77.60173062347418,213,319,39.84,High,Mico Layout,"Dairy Circle Flyover Underpass, Dairy Circle, Adugodi, Bengaluru, Karnataka. Pin-560029 (India)",morning_peak,6,0.6338
ZONE_094,Hosur Road / Electronic City Zone,12.818956049792533,77.6887669713693,241,478,39.44,High,Electronic City,"Hosur Road, Janatha Colony, Bommasandra, Bengaluru, Karnataka. Pin-560099 (India)",night,2,0.3817
ZONE_100,Professor K Venkatachalam Circle / Pulikeshinagar(F.Town) Zone,12.987432025827427,77.61869301138125,220,240,38.93,High,Pulikeshinagar(F.Town),"Professor K Venkatachalam Circle, Venkatachalam Circle, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",midday,10,0.5318
ZONE_098,19th Main Road / HSR Layout Zone,12.910820696380089,77.64464253122172,221,221,38.81,High,HSR Layout,"19th Main Road, Sector 2, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",midday,9,0.5837
ZONE_110,Dr Rajkumar Puniya Bhoomi Road / Nayandahalli Zone,12.950021587700535,77.52238495294117,187,319,38.68,High,Byatarayanapura,"Dr Rajkumar Puniya Bhoomi Road, BDA Layout, Block 3, Chandra Layout Stage 1, Bengaluru, Karnataka. Pin-560072 (India)",night,0,0.3476
ZONE_097,MBT Road / K.R. Pura Zone,13.045852403097346,77.75029787256635,226,388,38.65,High,K.R. Pura,"1st Cross Road, Subhams Antique City, Konadasapura, Bengaluru, Karnataka. Pin-560049 (India)",midday,11,0.2699
ZONE_111,"H Siddiah Road / 10th Cross, Wilson Garden Zone",12.949266012903228,77.59726600430108,186,187,38.43,High,Wilson Garden,"H Siddiah Road, Narayanpura, Wilson Garden, Bengaluru, Karnataka. Pin-560030 (India)",morning_peak,8,0.5376
ZONE_099,Jayamahal Main Road / R.T. Nagar Zone,13.00544332318182,77.59375104181818,220,233,38.33,High,R.T. Nagar,"Jayamahal Main Road, Munireddypalya, JC Nagar, Bengaluru, Karnataka. Pin-560006 (India)",night,10,0.3909
ZONE_107,Rajatha Bhavana Road / Jalahalli Zone,13.050972411855671,77.55266406134021,194,296,38.0,High,Jalahalli,"Rajatha Bhavana Road, Dr K Shivaramakarantha Circle, Jalahalli, Bengaluru, Karnataka. Pin-560013 (India)",night,10,0.5464
ZONE_095,Dr Rajkumar Puniya Bhoomi Road / Kamakshipalya Zone,12.987122598519731,77.51954725140992,241,242,37.9,High,Kamakshipalya,"Dr Rajkumar Puniya Bhoomi Road, Sumnahalli Junction, Kamakshipalya, Bengaluru, Karnataka. Pin-560091 (India)",midday,9,0.4523
ZONE_083,Dr BR Ambedkar Road / HAL Old Airport Zone,12.958571602000001,77.668240934,300,306,37.84,High,HAL Old Airport,"Dr BR Ambedkar Road, HAL Circle, Airport Area, Bengaluru, Karnataka. Pin-560017 (India)",night,3,0.1133
ZONE_113,Konanakunte Main Road / Thalagattapura Zone,12.876888371503108,77.54386487633799,180,207,37.82,High,Thalagattapura,"Konanakunte Main Road, Bayanapalya, Bengaluru, Karnataka. Pin-560109 (India)",midday,10,0.4889
ZONE_101,Soniya Gandhi Road / Jalahalli Zone,13.057287523502307,77.5469449046083,217,224,37.68,High,Jalahalli,"Soniya Gandhi Road, Gangamma Circle, Ramchandrapura, Bengaluru, Karnataka. Pin-560013 (India)",midday,11,0.3088
ZONE_125,Outer Ring Road / HAL Old Airport Zone,12.968277521522497,77.70122342648753,162,250,37.42,High,HAL Old Airport,"Outer Ring Road, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",morning_peak,9,0.6049
ZONE_103,Sarjapura Main Road / Bellandur Zone,12.906802309045204,77.6966929269552,212,212,37.41,High,Bellandur,"Sarjapura Main Road, Doddakannelli Circle, Doddakannelli, Bengaluru, Karnataka. Pin-560035 (India)",morning_peak,7,0.4953
ZONE_115,Dr TCM Royan Road / Briyand Circle Zone,12.968161795505617,77.56901303314608,178,233,37.37,High,Chamarajpet,"Bhashyam Road, Akkimakalamna Gudi, Cottonpete, Bengaluru, Karnataka. Pin-560053 (India)",night,2,0.3258
